,Station,Latitude,Longitude,sample_name,Weather,Date,Event No.,Sampler_used,Sampling_Start_Time,Sampling_End_Time,Sample_Depth,Volume_sampled,Volume_error,Filepath,Read_Start_Time,Read_End_Time,Slope,stderr_slope,cnt219,cnt219_abserr,cnt220,cnt220_abserr,cpm_219,err_219,cpm_220,err_220,cpm_Tot,err_Tot,y219cc,y219cc_err,y220cc,y220cc_err,corr219,corr219_err,corr220,corr220_err,final219,final220,Read_Runtime,final219_err,final220_err,cntTot_abserr,errslope_abs,Detector_Name,Cartridge_Type,Read_Number,Spike_Value,Error_List,Mid_Sample_Datetime,Mid_Read_Datetime,Detector 226 Calibration Factor,blankcorr223,blankcorr223_err,blankcorr224,blankcorr224_err,dpm223,dpm223_err,dpm223_thstdonly,dpm223_thstdonly_err,dpm224,dpm224_err,vdpm223 (dpm/m^3),vdpm223_err (dpm/m^3),vdpm223_thstdonly (dpm/m^3),vdpm223_thstdonly_err (dpm/m^3),vdpm224 (dpm/m^3),vdpm224_err (dpm/m^3),t1_(mins),sampling_to_read_time_(days),vdpm226 (dpm/m^3),vdpm226_err (dpm/m^3),read_number
0,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,300,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX001/300/1-StnX001-300-171220-detector1.txt,2017-12-20 20:41:48.000000000,2017-12-21 13:32:51.000000000,0.0001006434052248759,6.717385750321286e-05,0,0.0,13,0.0035661453691350473,0.0,0.0,0.012857919984174869,0.2773500981126146,0.4253004302457841,0.2773500981126146,1.5952044677239605e-05,9.091464874031634e-06,0.0017081333106138876,0.0009795108534794194,-1.5952044677239605e-05,9.091464874031634e-06,0.011149786673560981,0.0036982204241888185,-0.0003002716048530446,0.011149786667046606,1011.05,9.474183997030553e-05,0.0036982204241888185,0.11795711605600542,0.6674442041494993,detector1,0,1,0.0,{'Err223_CR10': 91},2017-12-24 16:50:00.000000000,2017-12-21 05:07:19.500000000,0.000186,-0.0005610230038622292,0.0010925414727874063,0.0009415762593435947,0.011094464530191075,-0.003479637806701642,-1.9475033668852444,-0.004827978812767317,-1.9783969067543177,0.003646302539716116,14.084896606065794,-0.0038662642296684916,2.163892629876758,0.0,2.198218785290656,0.00405144726635124,15.649885117851529,-5022.683333333333,-3.487974537037037,0.6012150849753638,0.40127807994580067,Error: Read prior to sampling
1,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX001/400/4-StnX001-400-171220-detector1.txt,2017-11-28 19:07:19.000000000,2017-11-29 09:28:11.800000000,0.004507098914719189,0.00020758730203124787,41,0.007437882442887335,1118,0.038839916126058194,0.04762568534522814,0.15617376188860607,1.29867112721866,0.02990743022772896,4.892667967660998,0.02990743022772896,0.0012576584257537843,0.00010400353827895804,0.13039165576577919,0.011351139979377364,0.04636802691947436,0.0074386095454853805,1.1682794714528808,0.040464644611199224,0.0165769003974259,1.1682244724116708,860.88,0.007509835095948114,0.04046466006527434,0.14632712587026575,0.046057853612511954,detector1,0,4,0.0,{'Err223_CR10': 86},2017-12-24 16:50:00.000000000,2017-11-29 02:17:45.400000000,0.000186,0.016316148998416716,0.007588299811015215,1.1580162620039678,0.04179472482388164,0.10119779139860374,0.4664947176660658,0.14041139334396202,0.809102679761872,4.484477593053659,0.6583991699772379,0.11244199044289305,0.5183274791303842,0.15601265927106892,0.8990029942257723,4.982752881170732,0.7315755826651408,-36872.25,-25.605729166666666,26.924127328071616,1.2404283094911701,Error: Read prior to sampling
2,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200a/4-StnX009-3200A-180513-detector1.txt,2018-05-13 20:47:33.000000000,2018-05-14 06:38:10.200000000,0.007497824403881561,0.00037048300219853097,34,0.009872594722233079,241,0.02628453946066849,0.05756662490264468,0.17149858514250885,0.40804578239815786,0.06441566264008308,3.401510277335681,0.06441566264008308,0.0008510787286442665,0.00012456495072504645,0.08880210205554841,0.01356535557179926,0.05671554617400041,0.009873380524238574,0.31924368034260947,0.029578639022929776,0.04857483232526387,0.3191614086785752,590.62,0.009902148455086749,0.029578694780950907,0.21911053849163067,0.04941206705330883,detector1,a,4,0.0,{'Err223_CR10': 3},2018-01-17 14:45:00.000000000,2018-05-14 01:42:51.600000000,0.000186,0.048314080926254686,0.009961787735145555,0.30895319827087214,0.03137370704667258,0.2996588400648233,0.20929631840333407,0.41577503500652324,0.6868598981634271,1.1964371662193836,0.6808124094266618,0.3529550530798861,0.24652975090224669,0.4897232450017942,0.8090274001624366,1.4092310556176484,0.8019421330904657,167697.85,116.45684027777779,47.48042861229253,2.3627112432591826,4
3,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200a/3-StnX009-3200A-180219-detector1.txt,2018-02-19 23:11:46.000000000,2018-02-20 09:02:23.200000000,0.001744478054181436,0.00037487141982681007,33,0.009726325973617602,138,0.019889844780858642,0.055873488876096306,0.17407765595569782,0.23365277166367546,0.08512565307587486,2.3551522129287865,0.08512565307587486,0.00041381021303845333,7.922518886465734e-05,0.0435680588830711,0.008598335101663617,0.05545967866305785,0.009726648630212723,0.19008471278060435,0.02166880919495002,0.05061251848715244,0.19000604272435132,590.62,0.009742330840188844,0.02166887982097877,0.20048387021865482,0.21489030425361902,detector1,a,3,0.0,{'Err224_CR2': 2},2018-01-17 14:45:00.000000000,2018-02-20 04:07:04.600000000,0.000186,0.050351767088143255,0.009802942469137222,0.1797978323166483,0.024061393592263135,0.31229719848914456,0.19797657765582743,0.4333106896034657,0.6833596212984642,0.6962763622233706,0.7015458243222477,0.367841223190983,0.23319802190947858,0.5103777262702777,0.8049050483814004,0.8201135008520266,0.8263342853031981,48322.066666666666,33.55699074074074,11.047013274196312,2.3747873790002183,3
4,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200a/3-StnX009-3200A-180220-detector1.txt,2018-02-20 11:09:27.000000000,2018-02-20 21:00:03.000000000,0.0021355372524859803,0.00043935724058607746,14,0.006335349452715783,126,0.01900604835814735,0.023704707077548254,0.2672612419124244,0.2133423636979343,0.0890870806374748,2.224856078564172,0.0890870806374748,0.00038260794515316735,7.523476120353675e-05,0.04031523641543588,0.008162633476010027,0.023322099132395087,0.006335796158125632,0.17302712728249842,0.0206847397724969,0.018909907386691377,0.17301320811660179,590.6,0.006357714048349511,0.02068474531396435,0.19820593287782234,0.2057361631479954,detector1,a,3,0.0,{'Err223_CR10': 6},2018-01-17 14:45:00.000000000,2018-02-20 16:04:45.000000000,0.000186,0.018649155987682194,0.006450209203901858,0.16280499770889878,0.023179063777671233,0.11566782073298176,0.34776512082643146,0.16048848151444606,0.7458231189990076,0.6304707353584705,0.7070088084315987,0.13624007153472528,0.4096181248427576,0.18903236927496592,0.8784731659458538,0.7426039285729924,0.8327662641382979,49039.75,34.05538194444444,13.523419408576697,2.783396098211387,3
5,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200a/5-StnX009-3200a-190812-detector1.txt,2019-12-08 18:19:51.000000000,2019-12-09 09:40:46.200000000,0.007622469432730259,0.0003079196185381159,38,0.006693756246980168,418,0.022200677909330748,0.041263084741345615,0.16222142113076252,0.4538939321548017,0.048911598804451846,4.536767580245841,0.048911598804451846,0.0016504262519513309,0.00017553223351178085,0.17022603278021453,0.019189740858473445,0.039612658489394284,0.006696057366763494,0.2836678993745872,0.02934478239566979,0.03237912705534231,0.28362775425322445,920.92,0.0067377388716878235,0.029344794993883736,0.22190055575402837,0.040396307424459356,detector1,a,5,0.0,{'Err223_CR10': 53},2018-01-17 14:45:00.000000000,2019-12-09 02:00:18.600000000,0.000186,0.032118375656333124,0.006825085783825183,0.2734195438455214,0.031153287180309634,0.1992080778403651,0.21553134451820793,0.27640014063907753,0.6904674959999797,1.0588312600691199,0.6855297831798692,0.23463848980019444,0.25386871317835563,0.325559647395851,0.8132737512242346,1.2471510719306476,0.8074889795184145,994275.3,690.4689583333334,48.26975083102359,1.9705325689893016,5
6,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200a/1-StnX009_errorandspike_test-3200A-180118-detector1.txt,2018-01-18 06:01:20.000000000,2018-01-18 15:21:54.800000000,0.006500562093704184,0.0005294301609516133,53,0.012986745672839767,225,0.026758000642192015,0.09454493560241178,0.137360563948689,0.4013700096328802,0.06666666666666667,3.3144243462128506,0.06666666666666667,0.0007824776958105011,0.00012052895888577847,0.08174391228651091,0.013120024867655632,0.09376245790660129,0.01298730497066087,0.3196260973463693,0.029801437060911182,0.08561199242426887,0.3194013746732474,560.58,0.013009519364889977,0.029801699307042042,0.2209616230808567,0.08144375106644518,detector1,a,1,150.0,"{'S1': 1, 'Err223_Tot200': 1, 'Err224_Tot100': 1, 'Err223_CR10': 1, 'Err223_CPM220_5': 1, 'Err224_CPM219_1': 1, 'Err224_CR2': 2}",2018-01-17 14:45:00.000000000,2018-01-18 10:41:37.400000000,0.000186,0.08535124102525968,0.013054970890774396,0.3091931642655444,0.03158404012302939,0.5293747369997864,0.15710156982005113,0.7345046111773049,0.671312867754986,1.1973664468879817,0.680885858567242,0.623527369846627,0.1850795065866501,0.8651408847789221,0.790726506796946,1.4103256147090477,0.802028707721587,1196.6166666666666,0.8309837962962963,41.16520443851833,3.361402541748593,1
7,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200b/5-StnX009-3200b-190811-detector1.txt,2019-11-08 15:24:24.000000000,2019-11-09 09:25:30.000000000,0.0015482326621110167,0.00012543802859531084,9,0.002774951438349829,106,0.009523291222816577,0.008324854315049488,0.3333333333333333,0.0980482841550273,0.09712858623572643,1.2811025807048377,0.09712858623572643,0.0001314227786045641,2.7611214307361168e-05,0.013963931033677898,0.002985244820481751,0.008193431536444924,0.0027750888029674492,0.0840843531213494,0.009980218552355874,0.006049280531850515,0.08408263475921715,1081.1,0.002786733905681562,0.009980218824071472,0.1244316824868015,0.08102014100663396,detector1,b,5,0.0,{'Err223_CR10': 30},2018-01-17 14:45:00.000000000,2019-11-09 00:24:57.000000000,0.000186,0.0057885291328413305,0.0029917481034663876,0.07387442435151415,0.014457353723352386,0.03590224407406803,0.5181888805224434,0.049814171287185315,0.8549340216646854,0.28608251159686016,0.7670974410865733,0.04228768442175269,0.610352089115926,0.05867393555616645,1.0069894840982645,0.3369640890422381,0.9035327341797431,950979.95,660.4027430555556,9.804277404859711,0.7964397129808646,5
8,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200b/3-StnX009-3200B-180219-detector2.txt,2018-02-19 23:07:15.000000000,2018-02-20 08:57:51.000000000,0.0016759257310588185,0.00026357573826369865,7,0.004479768559201813,49,0.011852353538774127,0.011852353538774127,0.37796447300922725,0.0829664747714189,0.14285714285714285,1.0904165255672198,0.14285714285714285,9.40550937841939e-05,2.92427564291877e-05,0.010011825249472084,0.00315910389886884,0.011758298444989934,0.004479864002714442,0.07295464952194682,0.012266141278003441,0.009897954882180291,0.07295111079359018,590.6,0.0044907701946966605,0.012266142464773415,0.15577378936674569,0.1572717295158279,detector2,b,3,0.0,{'Err223_CR10': 7},2018-01-17 14:45:00.000000000,2018-02-20 04:02:33.000000000,0.000187,0.008631348659187701,0.004686339445436357,0.06898674040163881,0.012439718165038438,0.04441377813060036,0.5429875612442562,0.04061374071941867,0.5429669831377173,0.14607384827925107,0.1803791181298991,0.052313048445936816,0.6395613948694937,0.047837150435122114,0.6395371446646809,0.17205400268463023,0.2124630972111104,48317.55,33.55385416666667,10.556148038641362,1.661347241814967,3
9,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-05-27_163819/StnX_folder/StnX009/3200b/3-StnX009-3200B-180220-detector2.txt,2018-02-20 11:05:08.000000000,2018-02-20 21:05:45.800000000,0.0015365985696143072,0.000240661032869213,2,0.0023545503261127405,50,0.0117727516305637,0.003329837004478631,0.7071067811865476,0.08324592511196577,0.1414213562373095,0.9090455022226662,0.1414213562373095,6.396313229410136e-05,1.992123671255243e-05,0.006820662620028432,0.0021504034026882447,0.0032658738721845298,0.002354634598800793,0.07642526249193733,0.011967535909669686,0.001317029678640128,0.0764249894583414,600.63,0.0023743281459363847,0.011967535935581062,0.12855844780575562,0.15661932636682066,detector2,b,3,0.0,{'Err223_CR10': 60},2018-01-17 14:45:00.000000000,2018-02-20 16:05:26.900000000,0.000187,5.0423455647538324e-05,0.002726205164851422,0.07246061906639004,0.012145379921142598,0.0002594607471132668,54.06643711892261,0.00023726131740331707,54.066329904790436,0.15342950564269628,0.1676763422894349,0.0003056074759873578,63.682493661864115,0.0002794597378130943,63.682367379022914,0.18071791006206864,0.1975015040572517,49040.433333333334,34.055856481481484,9.678568492748989,1.5169221673354418,3
