,Detector,no_of_acstd_reads,no_of_thstd_reads,no_of_blank_reads,Average_E220,Standard_Deviation_E220,Average_E219,Standard_Deviation_E219,Average_Blank_219,Standard_Deviation_Blank_219,Average_Blank_220,Standard_Deviation_Blank_220,Average_Blank_Tot,Standard_Deviation_Blank_Tot,E219_from_E220,E219_from_E220_uncertainty
0,detector1,3,3,4,0.2582276838215683,0.16827784329853507,0.16123028746892035,0.005762929990581158,0.0002607513990091846,0.0010884258603687785,0.01020821040770301,0.010459938284033063,0.7271399149091,0.36652262556915266,0.11620245771970573,0.07572502948434079
1,detector2,2,2,2,0.47227304007049953,0.002054958913814353,0.19433943750083366,0.0011648464538152742,0.0012666062229925897,0.0013396867007912177,0.003964370391951369,0.002070830041183891,1.0412273638438634,0.522998433941145,0.2125228680317248,0.000924731511216459
2,No_Read,0,0,0,,,,,,,,,,,,
