,Station,Latitude,Longitude,sample_name,Weather,Date,Event No.,Sampler_used,Sampling_Start_Time,Sampling_End_Time,Sample_Depth,Volume_sampled,Volume_error,Filepath,Read_Start_Time,Read_End_Time,Slope,stderr_slope,cnt219,cnt219_abserr,cnt220,cnt220_abserr,cpm_219,err_219,cpm_220,err_220,cpm_Tot,err_Tot,y219cc,y219cc_err,y220cc,y220cc_err,corr219,corr219_err,corr220,corr220_err,final219,final220,Read_Runtime,final219_err,final220_err,cntTot_abserr,errslope_abs,Detector_Name,Cartridge_Type,Read_Number,Spike_Value,Error_List,Mid_Sample_Datetime,Mid_Read_Datetime,Detector 226 Calibration Factor,Detector 226 Efficiency,blankcorr223,blankcorr223_err,blankcorr224,blankcorr224_err,dpm223,dpm223_err,dpm223_thstdonly,dpm223_thstdonly_err,dpm224,dpm224_err,vdpm223 (dpm/m^3),vdpm223_err (dpm/m^3),vdpm223_thstdonly (dpm/m^3),vdpm223_thstdonly_err (dpm/m^3),vdpm224 (dpm/m^3),vdpm224_err (dpm/m^3),t1_(mins),sampling_to_read_time_(days),vdpm226 (dpm/m^3),vdpm226_err (dpm/m^3),read_number
0,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,300,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX001/300/1-StnX001-300-171220-detector1.txt,2017-12-20 20:41:48.000000000,2017-12-21 13:34:24.000000000,0.00021133375838948266,8.02903283232098e-05,0,0.0,14,0.003695099137639681,0.0,0.0,0.013825794983211534,0.2672612419124244,0.42761208769504244,0.2672612419124244,1.6056596336406586e-05,8.837774091812858e-06,0.00171930520964942,0.0009521843503545869,-1.6056596336406586e-05,8.837774091812858e-06,0.012106489773562113,0.0038158108802777034,-0.0003247720855622405,0.012106489766962067,1012.6,9.770370818037632e-05,0.0038158108802777034,0.11428413761414158,0.37992192508703126,detector1,0,1,{},{'Err223_CR10': '90%'},2017-12-24 16:50:00.000000000,2017-12-21 05:08:06.000000000,0.000186,1,-0.0006589255233082784,0.0010189947716742,0.00474517505460819,0.006928291089947581,-0.0040601218503854165,0.006279280429185381,-0.003305061549259946,-1.5500984033601883,0.010710456308383194,0.016711721210973064,-0.0045112465004282405,0.006976980055223186,-0.003672290610288829,1.7223315592939314,0.01190050700931466,0.01856858383131135,-5021.9,-3.487430555555555,1.2624477801044365,0.4796336421160537,Error: Read prior to sampling
1,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX001/400/4-StnX001-400-171220-detector1.txt,2017-11-28 19:07:19.000000000,2017-11-29 09:30:59.800000000,0.0038619516979803052,0.000385530491030649,41,0.007413769263422621,1119,0.03873130947498548,0.04747128566135606,0.15617376188860607,1.2956187476843275,0.02989406377779755,4.888384586884031,0.02989406377779755,0.0012568667524775117,0.00010382261487712745,0.1303110450980052,0.01133135135630318,0.04621441890887855,0.007414496195064768,1.1653077025863223,0.04035484924029693,0.01649907249292733,1.1652530672090116,863.68,0.007485565774360602,0.04035486453414637,0.14613368061071377,0.09982789045038312,detector1,0,4,{},{'Err223_CR10': '100%'},2017-12-24 16:50:00.000000000,2017-11-29 02:19:09.400000000,0.000186,1,0.016164919055181293,0.007553972418031853,1.1578917524966577,0.04076709330234749,0.0996038835104395,0.046722323394205845,0.08108056301711009,0.5165604327267767,2.613507169331753,0.5746698604623112,0.11067098167826611,0.051913838296643505,0.09008951446345566,0.5739560450918914,2.903896854813059,0.6385302192648862,-36870.85,-25.604756944444443,23.070201302152363,2.3031921780131897,Error: Read prior to sampling
2,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200a/4-StnX009-3200A-180513-detector1.txt,2018-05-13 20:47:33.000000000,2018-05-14 06:42:48.000000000,0.007827519206471296,0.00045754613539509637,35,0.00993881525930217,243,0.026188084448752452,0.05879882402351953,0.16903085094570333,0.4082318353632927,0.06415002990995843,3.4170516589668205,0.06415002990995843,0.0008595379588200601,0.00012523272720115617,0.08967156909869471,0.013638797832978214,0.057939286064699475,0.009939604217195969,0.318560266264598,0.029526811094729502,0.04981599927495223,0.3184744076597143,595.25,0.00996808111550908,0.029526870175647577,0.2192039661265946,0.05845353084752909,detector1,a,4,{},{'Err223_CR10': '5%'},2018-01-17 14:45:00.000000000,2018-05-14 01:45:10.500000000,0.000186,1,0.04948184583720619,0.010019553156477384,0.31111309294736045,0.030087819248369393,0.3048938254392846,0.06294331597081367,0.24819276272964466,0.2968983656522436,0.7022213407580599,0.16925785116477435,0.3591211135916191,0.07416834239121824,0.29233540957555315,0.34970784883709927,0.8271158312815782,0.1994209271804645,167700.16666666666,116.45844907407407,49.56824098225171,2.9121073296568407,4
3,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200a/3-StnX009-3200A-180219-detector1.txt,2018-02-19 23:11:46.000000000,2018-02-20 09:04:34.000000000,0.0005332624846444225,0.0004360135577319411,33,0.00969055777081314,138,0.019816700614829166,0.05566801619433199,0.17407765595569782,0.23279352226720648,0.08512565307587486,2.353238866396761,0.08512565307587486,0.0004134630706725542,7.912481764851867e-05,0.04353189075018453,0.008587411848710085,0.055254553123659435,0.009690880798267763,0.18926163151702197,0.02159734394589152,0.05042838151997538,0.18918354207337204,592.8,0.00970651722710764,0.021597413765272147,0.20032099534555572,0.8176340363089171,detector1,a,3,{},{'Err224_CR2': '3%'},2018-01-17 14:45:00.000000000,2018-02-20 04:08:10.000000000,0.000186,1,0.05009422808222934,0.009759368883808243,0.18182222736101816,0.02235819952727339,0.30866716012713113,0.06140191419867195,0.2512643708854705,0.29170848422803436,0.41039561230768906,0.10501641310138045,0.36356555963148546,0.07235431926756124,0.2959533225977273,0.3435950971178075,0.48338705807737226,0.12372699894151921,48323.166666666664,33.55775462962963,3.3769170855302417,2.761153969580818,3
4,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200a/3-StnX009-3200A-180220-detector1.txt,2018-02-20 11:09:27.000000000,2018-02-20 21:07:46.800000000,0.0012459693115819096,0.0004458986504977608,14,0.006253501223027327,127,0.018834802984280655,0.023398459044340077,0.2672612419124244,0.21225744990222786,0.08873565094161137,2.2278675647218087,0.08873565094161137,0.00038433933251762144,7.520415201163822e-05,0.040495835570404426,0.008159461150675135,0.023014119711822455,0.006253953406516879,0.17176161433182344,0.02052624197767444,0.018634198546360958,0.17174806029029638,598.33,0.00627581873852794,0.02052624727575142,0.19769127856729218,0.35787289971984804,detector1,a,3,{},{'Err223_CR10': '10%'},2018-01-17 14:45:00.000000000,2018-02-20 16:08:36.900000000,0.000186,1,0.01830004510861492,0.006357256103773513,0.1643867455779425,0.02132528152166564,0.1127599559893884,0.03943923527996204,0.09179000250975078,0.41098719508282805,0.37104153923257843,0.09647401375293393,0.13281502472248338,0.04646033652451358,0.10811543287367584,0.4840842763215542,0.4370336151149334,0.11366167016103768,49043.6,34.058055555555555,7.89017637183473,2.82406261406861,3
5,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200a/5-StnX009-3200a-190812-detector1.txt,2019-12-08 18:19:51.000000000,2019-12-09 09:47:57.000000000,0.007736458256647759,0.00028837526680956354,38,0.006641971773482357,424,0.022186467279359984,0.040943863807779333,0.16222142113076252,0.456847322486801,0.048564293117863214,4.5620084042667814,0.048564293117863214,0.0016697315885848905,0.00017628630349451722,0.17217623201544444,0.01927358481607731,0.039274132219194444,0.006644310791988597,0.2846710904713565,0.029388950338530926,0.032015019412174855,0.28463162835778455,928.1,0.0066864410256456345,0.02938896251312036,0.2215507133509674,0.037274842989267004,detector1,a,5,{},{'Err223_CR10': '58%'},2018-01-17 14:45:00.000000000,2019-12-09 02:03:54.000000000,0.000186,1,0.03168086597442882,0.006762935599245656,0.2772703136454307,0.029952494426184192,0.1952089752664378,0.04240971600077097,0.15890598903141157,0.30507775372802676,0.6258339356789647,0.1541746623947932,0.22992812163302448,0.04997090146203776,0.18716842053169797,0.35933944534412043,0.7371424448515486,0.1816474812399479,994278.9,690.4714583333333,48.99159198454703,1.8488063441575708,5
6,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200a/1-StnX009_errorandspike_test-3200A-180118-detector1.txt,2018-01-18 06:01:20.000000000,2018-01-18 15:24:30.800000000,-999.0,-999.0,53,0.013402757629663312,236,0.028282137589265465,0.09757354836334181,0.137360563948689,0.43447844176884276,0.06509445549041193,3.496078647962002,0.06509445549041193,0.0008679706013174044,0.0001308202207591256,0.09053811412130998,0.014248063280854113,0.0967055777620244,0.013403396062552864,0.3439403276475328,0.03166838508470815,0.08793509940701232,0.3437012871118632,563.18,0.013427700958478662,0.03166866474369262,0.22757533594074206,1.0,detector1,a,1,{90.08: 150.0},"{'S1': 1, 'Err223_Tot200': '1%', 'Err224_Tot100': '1%', 'Err223_CR10': '1%', 'Err223_CPM220_5': '1%', 'Err224_CPM219_1': '1%', 'Err224_CR2': '3%', 'Err226_short_read': True}",2018-01-17 14:45:00.000000000,2018-01-18 10:42:55.400000000,0.000186,1,0.08760094596926628,0.013465955493778966,0.33633997239950936,0.032192314787871365,0.5397734679611883,0.08574940222617257,0.4393918704927218,0.26552108378908956,0.7591615773267191,0.18241345345117954,0.6357755806374421,0.10106985304178243,0.5175404835014391,0.31276053361795586,0.8941832477346515,0.21492136141806564,1197.9166666666667,0.8318865740740742,-999.0,-999.0,1
7,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200b/5-StnX009-3200b-190811-detector1.txt,2019-11-08 15:24:24.000000000,2019-11-09 09:30:39.000000000,0.0015793107815041368,0.00013358161606833835,9,0.0027617951668584577,106,0.009478140521046721,0.008285385500575374,0.3333333333333333,0.09758342922899885,0.09712858623572643,1.2805523590333716,0.09712858623572643,0.00013141238650970057,2.7597513471093484e-05,0.013962833398836,0.002983762916011811,0.008153973114065674,0.002761933048868586,0.08362059583016285,0.00993669909354586,0.006021647920396521,0.08361889397788742,1086.25,0.0027735317816277015,0.009936699361272101,0.12437824023373574,0.08458222259529889,detector1,b,5,{},{'Err223_CR10': '28%'},2018-01-17 14:45:00.000000000,2019-11-09 00:27:31.500000000,0.000186,1,0.005687494482650483,0.0029531818220025147,0.07625757926553355,0.011496903885364385,0.035044811296757385,0.01825695812312457,0.028527532568262313,0.5672338224532156,0.1721229378278447,0.04827432741446184,0.04127775182185794,0.02150544718909445,0.03360133400266468,0.6681199615239339,0.20273608695859213,0.056872755054818265,950982.5166666667,660.404525462963,10.001081484251788,0.8479617339542089,5
8,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200b/3-StnX009-3200B-180219-detector2.txt,2018-02-19 23:07:15.000000000,2018-02-20 09:04:37.200000000,0.001373495481671491,0.00029599575218430574,7,0.004428999298700287,49,0.011718030701240436,0.011718030701240436,0.37796447300922725,0.08202621490868306,0.14285714285714285,1.0881028508294692,0.14285714285714285,9.381876355650191e-05,2.9142245878450317e-05,0.009986794912338068,0.0031482280927111928,0.011624211937683935,0.004429095173777876,0.07203941999634499,0.012133572583495324,0.009787206727777137,0.07203596150861889,597.37,0.0044398892096136474,0.012133573729591344,0.15544326440420989,0.21550544296228066,detector2,b,3,{},{'Err223_CR10': '11%'},2018-01-17 14:45:00.000000000,2018-02-20 04:05:56.100000000,0.000187,1,0.00852762540888464,0.0046353002746210474,0.06808870236936894,0.012313074015736487,0.043998769581155645,0.023916218925271925,0.00039708114325359304,0.543621651263506,0.14267199035374253,0.025822044461387767,0.05182422801078403,0.028171522512093407,0.00046770452680046295,0.6403081875954487,0.16804710289015612,0.03043075530245631,48320.933333333334,33.5562037037037,8.651231594713447,1.8650835354945858,3
9,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,14:45:00,16:55:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Results_Folder_2020-07-09_135502/Read_Files/StnX009/3200b/3-StnX009-3200B-180220-detector2.txt,2018-02-20 11:05:08.000000000,2018-02-20 21:07:51.200000000,0.0017176608451891396,0.0003470611693107688,2,0.002346385655649547,50,0.011731928278247736,0.003318290416777276,0.7071067811865476,0.08295726041943191,0.1414213562373095,0.9191664454473055,0.1414213562373095,6.56081504794902e-05,2.039797318761648e-05,0.006995335939347006,0.0022019698848499843,0.0032526822662977857,0.0023464743174277697,0.0759619244800849,0.01193678400993061,0.0013156531920556207,0.07596165364766652,602.72,0.0023661347747277774,0.011936784035520983,0.1299897653229849,0.20205453846306445,detector2,b,3,{},{'Err223_CR10': '100%'},2018-01-17 14:45:00.000000000,2018-02-20 16:06:29.600000000,0.000187,1,5.607187316312447e-05,0.0027151401832012888,0.07201439450841657,0.01211919937026553,0.00028930602705856646,0.014008924394231834,2.61093592089384e-06,48.42277425246406,0.150897823590446,0.025418580873919037,0.0003407609270418922,0.01650049999745887,3.0753073273190104e-06,57.03506979088817,0.1777359524033522,0.029957727984730353,49041.48333333333,34.05658564814814,10.819024868446297,2.1869614481988804,3
