,Detector,no_of_acstd_reads,no_of_thstd_reads,no_of_blank_reads,Average_E220,Standard_Deviation_E220,Average_E219,Standard_Deviation_E219,Average_Blank_219,Standard_Deviation_Blank_219,Average_Blank_220,Standard_Deviation_Blank_220,Average_Blank_Tot,Standard_Deviation_Blank_Tot,E219_from_E220_adjustment_coefficient,E219_from_E220,E219_from_E220_uncertainty
0,detector1,3,3,4,0.4430413530461899,0.09555352939024175,0.1623293670392144,0.006472999323328299,0.00033415343774603794,0.0010142999211806925,0.007361314712353876,0.005782802499913112,0.650233039137954,0.4065082709602517,0.45,0.19936860887078547,0.04299908822560879
1,detector2,2,2,2,0.4772394511392814,0.0033250055211764273,0.19384895599049978,0.0003280616420809346,0.0012595813188924962,0.0013316878171171567,0.003947259139249957,0.002094798383037342,1.0387551449535914,0.5198020763615337,45.0,21.475775301267664,0.14962524845293923
2,No_Read,0,0,0,,,,,,,,,,,-999.0,,
