,Station,Latitude,Longitude,sample_name,Weather,Date,Event No.,Sampler_used,Sampling_Start_Time,Sampling_End_Time,Sample_Depth,Volume_sampled,Volume_error,Filepath,Read_Start_Time,Read_End_Time,Slope,stderr_slope,cnt219,cnt219_abserr,cnt220,cnt220_abserr,cpm_219,err_219,cpm_220,err_220,cpm_Tot,err_Tot,y219cc,y219cc_err,y220cc,y220cc_err,corr219,corr219_err,corr220,corr220_err,final219,final220,Read_Runtime,final219_err,final220_err,cntTot_abserr,errslope_abs,Detector_Name,Cartridge_Type,Read_Number,Spike_Value,Mid_Sample_Datetime,Mid_Read_Datetime,blankcorr223,blankcorr223_err,blankcorr224,blankcorr224_err,dpm223,dpm223_err,dpm223_thstdonly,dpm223_thstdonly_err,dpm224,dpm224_err,vdpm223 (dpm/m^3),vdpm223_err (dpm/m^3),vdpm223_thstdonly (dpm/m^3),vdpm223_thstdonly_err (dpm/m^3),vdpm224 (dpm/m^3),vdpm224_err (dpm/m^3),t1_(mins),sampling_to_read_time_(days),vdpm226 (dpm/m^3),vdpm226_err (dpm/m^3)
0,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,300,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX001/300/1-StnX001-300-171220-detector1.txt,2017-12-20 20:41:48.000,2017-12-21 13:32:51.000,0.00012841528925939364,7.615802619471855e-05,0,0.0,13,0.0035661453691350473,0.0,0.0,0.012857919984174869,0.2773500981126146,0.4253004302457841,0.2773500981126146,1.5820727495265778e-05,9.053653790439267e-06,0.0017081333106138876,0.0009795108534794194,-1.5820727495265778e-05,9.053653790439267e-06,0.011149786673560981,0.0036982204241888185,-0.0003001402876710708,0.011149786667153418,1011.05,9.473821907952653e-05,0.0036982204241888185,0.11795711605600542,0.5930604263241774,detector1,0,1,0,2017-12-24 16:50:00,2017-12-21 05:07:19.500000000,-0.0005621081478939285,0.0010938303254016018,0.0009415763566382792,0.011094464590782976,-0.0034860944372248964,-1.9460365476760944,-0.004837323626835314,-1.9768079545991093,0.0036463077578140837,14.084902590738041,-0.003873438263583218,2.1622628307554996,0.0,2.1964532828960177,0.00405145306423787,15.649891767487361,-5022.683333333333,-3.487974537037037,0.7671164232938689,0.45494719148749563
1,1,41 22.97,13 53.26,StnX001,"Calm, sunny, clouds",12/24/17,11,Sampler001,16:50:00,18:20:00,400,900,1,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX001/400/4-StnX001-400-171220-detector1.txt,2017-11-28 19:07:19.000,2017-11-29 09:28:11.800,0.004527146277886485,0.0002616847320463994,41,0.007437882442887335,1118,0.038839916126058194,0.04762568534522814,0.15617376188860607,1.29867112721866,0.02990743022772896,4.892667967660998,0.02990743022772896,0.0011700234867741653,0.00010003325631623166,0.13039165576577919,0.011351139979377364,0.04645566185845397,0.007438555094007229,1.1682794714528808,0.040464644611199224,0.016664535336405512,1.1682242643976866,860.88,0.007509781160908,0.0404646601235946,0.14632712587026575,0.05780346292865268,detector1,0,4,0,2017-12-24 16:50:00,2017-11-29 02:17:45.400000000,0.016402567476182656,0.0075884321526480366,1.1580160540871713,0.04179472489643014,0.10172579680470416,0.4640616820397401,0.14115526965866254,0.8076969164440172,4.484482742076156,0.6584003181099498,0.11302866311633795,0.5156241064495439,0.15683918850962505,0.897441035190658,4.98275860230684,0.73157685837973,-36872.25,-25.605729166666666,27.04388457518808,1.5635189548195605
2,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200a/1-StnX009-3200A-180118-detector1.txt,2018-01-18 06:01:20.000,2018-01-18 15:21:54.800,0.006006346631989049,0.0007486155094723645,53,0.012986745672839767,236,0.027404280380565155,0.09454493560241178,0.137360563948689,0.42099254343715437,0.06509445549041193,3.373291947625673,0.06509445549041193,0.0007597106452370061,0.00011787227522439065,0.08407012374531626,0.013233934578135285,0.09378522495717478,0.012987280586954645,0.3369224196918381,0.030432410479536334,0.08519370325503291,0.33669758795460014,560.58,0.013010444808772973,0.030432667412499947,0.21958260254088435,0.12463741361268299,detector1,a,1,0,2018-01-17 15:10:00,2018-01-18 10:41:37.400000000,0.08493173539481005,0.013056001055941341,0.326489377644085,0.03218008011317073,0.5267314686916358,0.1578543986973718,0.7308954546073702,0.6715079545000904,1.2643486023777255,0.6792305311142078,0.6204139796132342,0.18596569594979206,0.8608898169698118,0.7909561253050896,1.4892209686427862,0.800084033062739,1171.6166666666666,0.8136226851851851,38.03555499822087,4.745942446148822
3,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200a/4-StnX009-3200A-180513-detector1.txt,2018-05-13 20:47:33.000,2018-05-14 06:38:10.200,0.0073520868540107925,0.0005086744421881628,34,0.009872594722233079,241,0.02628453946066849,0.05756662490264468,0.17149858514250885,0.40804578239815786,0.06441566264008308,3.401510277335681,0.06441566264008308,0.0008018320872364913,0.00012067902348527328,0.08880210205554841,0.01356535557179926,0.05676479281540819,0.009873332263029225,0.31924368034260947,0.029578639022929776,0.04862407896667165,0.31916126580690773,590.62,0.009902100334087569,0.029578694877431436,0.21911053849163067,0.06918776291532315,detector1,a,4,0,2018-01-17 15:10:00,2018-05-14 01:42:51.600000000,0.04836211110644879,0.009961881372358886,0.30895305549639257,0.03137370715905977,0.2999331839118935,0.20910050268882338,0.4161889194728503,0.6868124326885134,1.1964382018670823,0.6808135890671504,0.353278190708944,0.246299132403507,0.49021074142856336,0.8089715032496853,1.4092322754618165,0.8019435225373873,167672.85,116.43947916666667,46.557536722588196,3.232860334068854
4,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200a/3-StnX009-3200A-180219-detector1.txt,2018-02-19 23:11:46.000,2018-02-20 09:02:23.200,0.0012613638793220485,0.0005048935923283931,33,0.009726325973617602,138,0.019889844780858642,0.055873488876096306,0.17407765595569782,0.23365277166367546,0.08512565307587486,2.3551522129287865,0.08512565307587486,0.0003968896272648524,7.751782000986956e-05,0.0435680588830711,0.008598335101663617,0.05547659924883145,0.009726634873248173,0.19008471278060435,0.02166880919495002,0.05062943907292604,0.19000599473431257,590.62,0.009742317105368884,0.021668879863947988,0.20048387021865482,0.40027592402579404,detector1,a,3,0,2018-01-17 15:10:00,2018-02-20 04:07:04.600000000,0.05036747121270318,0.009803072581194987,0.17979778442379743,0.02406139365889808,0.3123700694778458,0.19792367200904526,0.43344640961712744,0.6833582407797301,0.69627710122519,0.7015470215574706,0.36792705474422355,0.23313571404719236,0.510537584943613,0.8049034258562737,0.8201143712899764,0.8263356954801241,48297.066666666666,33.53962962962963,7.9876634074372665,3.1976153952943966
5,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200a,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200a/3-StnX009-3200A-180220-detector1.txt,2018-02-20 11:09:27.000,2018-02-20 21:00:03.000,0.001555974250882665,0.0006139777678300744,14,0.006335349452715783,126,0.01900604835814735,0.023704707077548254,0.2672612419124244,0.2133423636979343,0.0890870806374748,2.224856078564172,0.0890870806374748,0.000367546719563698,7.36770025391086e-05,0.04031523641543588,0.008162633476010027,0.023337160357984558,0.006335777851908108,0.17302712728249842,0.0206847397724969,0.018924968612280848,0.17301319013638153,590.6,0.006357695805241906,0.02068474532109655,0.19820593287782234,0.3945937842363267,detector1,a,3,0,2018-01-17 15:10:00,2018-02-20 16:04:45.000000000,0.01866300075205799,0.006450409708119659,0.1628049798258664,0.023179063813037738,0.11574460065636805,0.3475232079242321,0.16060783823153416,0.7457418183085891,0.6304715032026624,0.7070100007302186,0.1363305072513169,0.4093331877978236,0.1891729543363182,0.8783774065419653,0.7426048329831124,0.8327676685033464,49014.75,34.038020833333334,9.853301486142236,3.8884845346810666
6,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200b/3-StnX009-3200B-180219-detector2.txt,2018-02-19 23:07:15.000,2018-02-20 08:57:51.000,0.0017267492370599603,0.00036089271677979917,7,0.004479768559201813,49,0.011852353538774127,0.011852353538774127,0.37796447300922725,0.0829664747714189,0.14285714285714285,1.0904165255672198,0.14285714285714285,9.219151012079698e-05,2.8945663101466868e-05,0.010011825249472084,0.00315910389886884,0.01176016202865333,0.004479862073259116,0.07295464952194682,0.012266141278003441,0.009899818465843688,0.07295110967189411,590.6,0.004490768269927173,0.012266142465148731,0.15577378936674569,0.20900123135092336,detector2,b,3,0,2018-01-17 15:10:00,2018-02-20 04:02:33.000000000,0.008629666197166479,0.004687279736472408,0.0689867397635288,0.012439718084852915,0.044401893772555746,0.5432025521777787,0.04060590503739936,0.5431818016247957,0.1460741380783464,0.18037910815601113,0.05229905037992432,0.6398146232262555,0.04782792112767887,0.6397901699248989,0.17205434402632086,0.21246308547302453,48292.55,33.53649305555556,10.934744462555317,2.286282184493729
7,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200b/3-StnX009-3200B-180220-detector2.txt,2018-02-20 11:05:08.000,2018-02-20 21:05:45.800,0.0015652979596858382,0.0003472623710741684,2,0.0023545503261127405,50,0.0117727516305637,0.003329837004478631,0.7071067811865476,0.08324592511196577,0.1414213562373095,0.9090455022226662,0.1414213562373095,6.291526439411424e-05,1.9754632237200728e-05,0.006820662620028432,0.0021504034026882447,0.0032669217400845166,0.0023546331951479066,0.07642526249193733,0.011967535909669686,0.0013180775465401148,0.07642498928311017,600.63,0.002374326753925916,0.011967535935597663,0.12855844780575562,0.22185065081402483,detector2,b,3,0,2018-01-17 15:10:00,2018-02-20 16:05:26.900000000,4.792527786290617e-05,0.0027278231629210377,0.07246061937474486,0.01214537983865112,0.0002465881122247451,56.91849411104411,0.00022550690111642144,56.91838029161807,0.1534298121069457,0.16767632922383233,0.000290445361866602,67.04180696236058,0.00026561472451875316,67.04167289943237,0.18071827103291602,0.1975014886795287,49015.433333333334,34.03849537037037,9.91234443865546,2.1998347652771475
8,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200b/4-StnX009-3200B-180514-detector1.txt,2018-05-14 08:48:47.000,2018-05-14 18:39:24.200,0.0010376916094983776,0.00036267517031675177,8,0.004788911863374404,58,0.012894539815556381,0.013545088212386983,0.3535533905932738,0.09820188953980563,0.13130643285972257,1.0599031526192815,0.13130643285972257,8.36143852633885e-05,2.4666830084154784e-05,0.00907605650961625,0.002690196654282497,0.013461473827123595,0.004788975390172151,0.08912583303018938,0.01317217958781619,0.011188765084853766,0.08912119502043402,590.62,0.0048007403355174475,0.013172181243243474,0.13917210214721196,0.34950188186649184,detector1,b,4,0,2018-01-17 15:10:00,2018-05-14 13:44:05.600000000,0.010926797224630908,0.0049228647370893695,0.07891298470991888,0.01682012690068375,0.06776604673707433,0.45201745003253313,0.09403253551542504,0.80514192828085,0.3055950017345024,0.7662095786443033,0.0798186651791217,0.532411809440978,0.110756814505801,0.9483417181740089,0.35994699850942563,0.9024872701094242,168394.08333333334,116.94033564814815,6.5712451682458655,2.2969885858079286
9,2,41 21.30,13 57.78,StnX009,"Calm, sunny, clouds",17/01/2018,12,Sampler001,15:10:00,16:40:00,3200b,849,5,/Users/seanselzer/Documents/GitHub/RaDeCC_Reader/Example_Output_Folder/StnX_folder/StnX009/3200b/2-StnX009-3200b-180125-detector1.txt,2018-01-25 13:23:14.000,2018-01-26 00:13:54.800,0.0014225161099209707,0.0003532931600071713,9,0.004610561258990595,60,0.01190441798182645,0.013831683776971785,0.3333333333333333,0.0922112251798119,0.12909944487358058,1.1464928997356612,0.12909944487358058,0.00010068560757356507,2.875427004538303e-05,0.010939178514967928,0.0031403332028951078,0.013730998169398219,0.0046106509226952735,0.08127204666484397,0.012311655457786267,0.011658560979444697,0.08126722109304801,650.68,0.004621327166976831,0.012311657165897398,0.14801159690737553,0.24835793249947719,detector1,b,2,0,2018-01-17 15:10:00,2018-01-25 18:48:34.400000000,0.011396593119221839,0.004748068474111544,0.07105901078253288,0.016155098650916456,0.07067963705043442,0.4182252537819636,0.09807544930205064,0.7861231394475412,0.2751800429696671,0.779187737595484,0.0832504558897932,0.4926094946127429,0.11551878598592538,0.9259403435069395,0.3241225476674524,0.9177731718836859,11738.566666666668,8.151782407407408,9.008169699462814,2.237879317401253
